BMS,battery charging,battery mode,battery level,battery health,current,power,temperature,voltage,cycle capacity,cycles,delta voltage,problem,runtime,balancer,balance current,cell count,cell voltages,cycle charge,total charge,design capacity,pack count,temp sensors,temp values,problem code,chrg mosfet,dischrg mosfet,heater,pack voltages,pack currents,pack battery levels,pack battery health,pack cycles
AG Automotive (AG Power Lithium),.,,✓,,✓,,.,,,✓,,.,.,✓,,,,✓,,✓,,,✓,✓,✓,✓,✓,,,,,
ANT (legacy smart BMS),.,,✓,,✓,.,.,✓,.,.,.,.,✓,✓,,✓,✓,✓,✓,✓,,,✓,✓,✓,✓,,,,,,
ANT (smart BMS),✓,,✓,✓,✓,✓,.,✓,.,.,✓,.,.,✓,,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,,,,,,
Batterieschmiede (Saftkiste BMS),.,,.,,✓,.,,✓,.,✓,.,.,.,,,.,✓,✓,,✓,,,,,,,,,,,,
Braun Power (smart BMS),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,✓,,✓,✓,✓,,✓,,✓,✓,✓,,,,,,,,
Buknuwo (smart battery),.,,✓,✓,✓,.,.,✓,.,✓,,.,.,,,,,✓,,✓,,✓,✓,✓,✓,✓,,,,,,
CBT Power (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,✓,,,.,✓,.,,✓,,,✓,✓,,,,,,,,
Chunguang Song (ABC-BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,.,✓,,.,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,,,,,
Creabest (VB series),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,.,,✓,,✓,✓,✓,,,,,,,,
D-powercore (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,,,,✓,✓,,,,,,,,
Daly (smart BMS),.,,✓,,✓,.,.,✓,.,✓,✓,.,.,✓,,✓,✓,✓,,,,✓,✓,✓,✓,✓,,,,,,
Dummy Manufacturer (dummy model),.,,,,✓,.,✓,✓,,,,.,,,,,,,,,,,,,,,,,,,,
